,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
2388557,sg:1c83d3e437434c2d9062486713d8d72d,United States Postal Service (USPS),NH,3465,491110.0,1,4.0,"{""<5"":1,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":0}",42.830576,-72.18485799999999,NH,33.0,33005.0,Cheshire County,330059708003.0
2388657,sg:1fa5e953be4a426a97ac3d013a47cb8d,Boynton Middle School,NH,3071,611110.0,7,37.0,"{""<5"":1,""5-20"":1,""21-60"":2,""61-240"":2,"">240"":1}",42.756886,-71.84729300000001,NH,33.0,33011.0,Hillsborough County,330110225002.0
2388965,sg:2a8df972618040c99b397b4803e7f39d,Hickman Chiropractic,NH,3104,621310.0,10,92.5,"{""<5"":0,""5-20"":3,""21-60"":2,""61-240"":2,"">240"":3}",42.99074,-71.44098000000001,NH,33.0,33011.0,Hillsborough County,330110012001.0
2389447,sg:3c9a8e8730ad48649513ccde5f598668,Vicuna Chocolate,NH,3458,445292.0,11,40.0,"{""<5"":0,""5-20"":4,""21-60"":2,""61-240"":5,"">240"":0}",42.87775,-71.949017,NH,33.0,33011.0,Hillsborough County,330110230004.0
2389783,sg:486481e239f34650af3f9111b304e4f1,Honest Engine Auto Repair,NH,3242,811111.0,3,212.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":2,"">240"":1}",43.175494,-71.840261,NH,33.0,33013.0,Merrimack County,330130400003.0
2390525,sg:627a8dc098244566a1911efca6f7a7b2,Merrimack Valley Physical Therapy Llc,NH,3060,621340.0,26,90.5,"{""<5"":1,""5-20"":4,""21-60"":8,""61-240"":2,"">240"":11}",42.720548,-71.443721,NH,33.0,33011.0,Hillsborough County,330110111021.0
2390849,sg:6e767e4d4acc4329b2b66411e578bd5e,Town Pool,NH,3263,444130.0,2,47.0,"{""<5"":0,""5-20"":0,""21-60"":2,""61-240"":0,"">240"":0}",43.301733,-71.3192,NH,33.0,33013.0,Merrimack County,330130350002.0
2390864,sg:6ed82b1696ec44628e7e7941453dca54,Radhika Goli,NH,3060,621210.0,2,36.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":0}",42.746195,-71.489756,NH,33.0,33011.0,Hillsborough County,330110109001.0
2391036,sg:744c3e29157f4f67ab15439bb3596119,Next Level Church Somersworth,NH,3878,813110.0,5,419.0,"{""<5"":0,""5-20"":0,""21-60"":0,""61-240"":0,"">240"":5}",43.270885,-70.91163399999999,NH,33.0,33017.0,Strafford County,330170830011.0
2391089,sg:7677c14075f64fa8a482fd4d102d99d1,Crown Dental,NH,3064,621210.0,1,9.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",42.767540999999994,-71.473557,NH,33.0,33011.0,Hillsborough County,330110104002.0
2391378,sg:801c0ed63b554b3984051955a1d8dba2,The Christmas Dove,NH,3825,453220.0,34,26.0,"{""<5"":0,""5-20"":13,""21-60"":14,""61-240"":7,"">240"":0}",43.21496,-70.997952,NH,33.0,33017.0,Strafford County,330170850004.0
2391402,sg:8167965dbeb24ff8ab62a055872b4195,Dead Perfect Golf,NH,3106,713910.0,9,34.0,"{""<5"":0,""5-20"":2,""21-60"":3,""61-240"":3,"">240"":1}",43.06035,-71.44583399999999,NH,33.0,33013.0,Merrimack County,330130030012.0
2391594,sg:87974cee30d649e0a0378ab7e8ef78f4,First Choice For Children,NH,3062,624410.0,1,5.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",42.709481,-71.463332,NH,33.0,33011.0,Hillsborough County,330110112001.0
2391717,sg:8bc954ff1e7d44d2b8e7e724f027c4bb,Ray's Repair Service,NH,3051,811111.0,4,24.0,"{""<5"":0,""5-20"":2,""21-60"":2,""61-240"":0,"">240"":0}",42.713242,-71.396128,NH,33.0,33011.0,Hillsborough County,330110123001.0
2392919,sg:b78975f441604fad96ae24b5fc6c4220,Bedford Veterinary Medical Center,NH,3110,541940.0,10,30.0,"{""<5"":0,""5-20"":5,""21-60"":1,""61-240"":2,"">240"":2}",42.934327,-71.52948,NH,33.0,33011.0,Hillsborough County,330110029033.0
2393205,sg:c2851b354bfa4034b0932d278bd9989c,Chiropractic Associates of Bedford,NH,3102,621310.0,1,40.0,"{""<5"":0,""5-20"":0,""21-60"":1,""61-240"":0,"">240"":0}",42.966735,-71.482537,NH,33.0,33011.0,Hillsborough County,330110023002.0
2393491,sg:ccd541e2221742fcad641e4174bb5b25,Silveira Tires,NH,3301,441310.0,9,35.0,"{""<5"":1,""5-20"":2,""21-60"":2,""61-240"":3,"">240"":1}",43.204534,-71.514259,NH,33.0,33013.0,Merrimack County,330130441003.0
2393979,sg:e08d1ef81b3544baa69a99f51ab41061,Santander Bank,NH,3244,522110.0,4,27.0,"{""<5"":0,""5-20"":1,""21-60"":3,""61-240"":0,"">240"":0}",43.112955,-71.897469,NH,33.0,33011.0,Hillsborough County,330110255002.0
2394181,sg:e7ec23f5f834408cb272e779ed529097,Laurie A Rosato DMD,NH,3301,621210.0,3,17.0,"{""<5"":0,""5-20"":2,""21-60"":0,""61-240"":0,"">240"":1}",43.207846,-71.529588,NH,33.0,33013.0,Merrimack County,330130441003.0
2394219,sg:e9aedf6eb11e49818b89fc07c60c4295,Lucky Dragon Chinese Restaurant,NH,3217,722511.0,14,8.5,"{""<5"":0,""5-20"":9,""21-60"":1,""61-240"":0,"">240"":4}",43.695407,-71.631989,NH,33.0,33009.0,Grafton County,330099611002.0
