,safegraph_place_id,location_name,region,postal_code,naics_code,raw_visit_counts,median_dwell,bucketed_dwell_times,latitude,longitude,state,stateFIPS,countyFIPS,countyName,CBGFIPS
13745,sg:dd674846b6004f94802dbace61f71696,Eastside Early Learning Center,RI,2906,624410.0,34,446.5,"{""<5"":0,""5-20"":3,""21-60"":5,""61-240"":5,"">240"":21}",41.846571000000004,-71.382915,RI,44.0,44007.0,Providence County,440070034002.0
14841,sg:056176d9bab84acb89365a0b16837708,Quonset Air Museum,RI,2852,712110.0,56,22.0,"{""<5"":1,""5-20"":24,""21-60"":14,""61-240"":11,"">240"":6}",41.589532,-71.416122,RI,44.0,44009.0,Washington County,440090501032.0
15335,sg:1689e12dc0964651a21f279897eaf9fd,Three Sisters,RI,2906,722515.0,18,9.5,"{""<5"":0,""5-20"":16,""21-60"":0,""61-240"":1,"">240"":1}",41.856557,-71.391542,RI,44.0,44007.0,Providence County,440070033001.0
15509,sg:1be7601a46f84a4e8d7d216f0acfa339,Tom's Market,RI,2816,447110.0,50,9.0,"{""<5"":1,""5-20"":42,""21-60"":6,""61-240"":1,"">240"":0}",41.681872999999996,-71.565718,RI,44.0,44003.0,Kent County,440030206022.0
15771,sg:24acf8b40ebd4cda9d343dfd5e2d671f,Norma Faraone Ledgard,RI,2920,621330.0,1,14.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.768617,-71.46943900000001,RI,44.0,44007.0,Providence County,440070143004.0
16039,sg:2d2bbb9ae8bb4488bc30d93878e7de43,Savon Shoes,RI,2904,448210.0,5,11.0,"{""<5"":0,""5-20"":5,""21-60"":0,""61-240"":0,"">240"":0}",41.862625,-71.45501999999999,RI,44.0,44007.0,Providence County,440070119012.0
16662,sg:415094ba54a143fd8d4da6377b5db123,ABC Windshield,RI,2822,423390.0,2,57.5,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":1,"">240"":0}",41.552609999999994,-71.544951,RI,44.0,44009.0,Washington County,440090505003.0
16717,sg:42b522f117064958b68761514c7f35e5,Pumpkin Patch Academy,RI,2921,624410.0,1,17.0,"{""<5"":0,""5-20"":1,""21-60"":0,""61-240"":0,"">240"":0}",41.783121,-71.514912,RI,44.0,44007.0,Providence County,440070146002.0
16975,sg:4b2314891b9246e385ba936f824c591b,High Street Field,RI,2904,713940.0,22,235.0,"{""<5"":3,""5-20"":3,""21-60"":1,""61-240"":4,"">240"":11}",41.917259,-71.39451899999999,RI,44.0,44007.0,Providence County,440070112001.0
17208,sg:52c6044030d047c09432cffd6d202242,Eagle Motors,RI,2830,441228.0,6,5.0,"{""<5"":1,""5-20"":4,""21-60"":0,""61-240"":1,"">240"":0}",41.968523,-71.687929,RI,44.0,44007.0,Providence County,440070129001.0
17244,sg:5405da356afd41c38a0893a793a64e19,Cumberland Farms,RI,2893,447110.0,67,6.0,"{""<5"":10,""5-20"":51,""21-60"":3,""61-240"":1,"">240"":2}",41.696034999999995,-71.50295799999999,RI,44.0,44003.0,Kent County,440030201021.0
17478,sg:5c7028a79a4843dda7116e1858e7960b,Pat's Service Station,RI,2893,447110.0,21,9.0,"{""<5"":2,""5-20"":13,""21-60"":2,""61-240"":4,"">240"":0}",41.696723,-71.522459,RI,44.0,44003.0,Kent County,440030202002.0
17547,sg:5eb513618e4843388c70b88e0849f2e0,Pizzeria Gusto,RI,2903,722511.0,4,52.0,"{""<5"":0,""5-20"":1,""21-60"":2,""61-240"":1,"">240"":0}",41.82073,-71.426381,RI,44.0,44007.0,Providence County,440070011001.0
18183,sg:742937d080d0461d9ca7f92a0b0d793a,Hopkins Manor,RI,2904,621610.0,48,313.5,"{""<5"":0,""5-20"":8,""21-60"":3,""61-240"":10,"">240"":27}",41.864282,-71.468108,RI,44.0,44007.0,Providence County,440070121031.0
